Rank,Model,R2 Score,CV Mean,CV Std,MAE,MSE,RMSE,Training Time (s),Prediction Time (s),Model Type,Verdict
1,Gradient Boosting (Tuned),0.914019299271503,0.8761203579293964,0.0447866885198597,15737.35281069321,659500022.1101031,25680.7325072729,4.2153160572052,0.018822908401489258,Boosting Ensemble,🏆 Final Selected Model
2,Gradient Boosting,0.9083919288592756,0.879103467180949,0.04647909595839716,16081.301900586546,702663788.860561,26507.806187245315,2.9335978031158447,0.00550532341003418,Boosting Ensemble,Excellent Baseline
3,Random Forest,0.8939769459064625,0.8456086125261809,0.04023124346889937,17261.063605664414,813231410.3796791,28517.2125282202,1.663332462310791,0.07791972160339355,Bagging Ensemble,Strong Baseline
4,Extra Trees,0.892547954618773,0.8489674097288249,0.034511912253733186,17263.90902968037,824192239.7034857,28708.748487237925,2.835505723953247,0.10767054557800293,Bagging Ensemble,Strong Baseline
5,Random Forest (Tuned),0.866919754304842,0.8438671607831353,0.025601795500233244,18045.14798411368,1020768896.2144719,31949.47411483438,0.8063628673553467,0.02841043472290039,Bagging Ensemble,Tuning Reduced Performance
6,AdaBoost,0.85028937482978,0.7764420137096614,0.03755590600144632,22892.548798458745,1148329331.7375073,33887.008303146315,5.718313694000244,0.07202839851379395,Boosting Ensemble,Moderate Performance
7,Extra Trees (Tuned),0.8446181461463211,0.8322061234135321,0.010414645780175508,19235.30502665661,1191829505.735193,34522.88379807216,0.7406690120697021,0.039090871810913086,Bagging Ensemble,Tuning Reduced Performance
8,Decision Tree,0.8029948343758626,0.6782940579917508,0.1033172536392161,25484.365060768363,1511093884.838061,38872.79106056139,0.05131673812866211,0.004293680191040039,Tree-Based,High Variance
9,Ridge Regression,0.6894155852768524,0.7843377812515283,0.08147290153049484,21773.103758893194,2382283775.794834,48808.64447815401,0.023586511611938477,0.005469799041748047,Linear,Weak Baseline
10,Lasso Regression,0.6548656595674109,0.7817811226954616,0.07966564652883015,22116.84062640908,2647292976.4203305,51451.85104950385,2.271728277206421,0.0020034313201904297,Linear,Weak Baseline
11,Linear Regression,0.654859378202796,0.7791791452097583,0.08385896168703669,22117.19467888632,2647341156.535953,51452.319253226604,0.19500279426574707,0.00424957275390625,Linear,Weak Baseline
